Data,Contagem,Links
08/2017,421,https://nuforc.org/webreports/ndxe201708.html
07/2017,528,https://nuforc.org/webreports/ndxe201707.html
06/2017,430,https://nuforc.org/webreports/ndxe201706.html
05/2017,369,https://nuforc.org/webreports/ndxe201705.html
04/2017,423,https://nuforc.org/webreports/ndxe201704.html
03/2017,351,https://nuforc.org/webreports/ndxe201703.html
02/2017,431,https://nuforc.org/webreports/ndxe201702.html
01/2017,341,https://nuforc.org/webreports/ndxe201701.html
12/2016,362,https://nuforc.org/webreports/ndxe201612.html
11/2016,502,https://nuforc.org/webreports/ndxe201611.html
10/2016,498,https://nuforc.org/webreports/ndxe201610.html
09/2016,601,https://nuforc.org/webreports/ndxe201609.html
08/2016,567,https://nuforc.org/webreports/ndxe201608.html
07/2016,704,https://nuforc.org/webreports/ndxe201607.html
06/2016,446,https://nuforc.org/webreports/ndxe201606.html
05/2016,388,https://nuforc.org/webreports/ndxe201605.html
04/2016,393,https://nuforc.org/webreports/ndxe201604.html
03/2016,418,https://nuforc.org/webreports/ndxe201603.html
02/2016,440,https://nuforc.org/webreports/ndxe201602.html
01/2016,425,https://nuforc.org/webreports/ndxe201601.html
12/2015,441,https://nuforc.org/webreports/ndxe201512.html
11/2015,916,https://nuforc.org/webreports/ndxe201511.html
10/2015,669,https://nuforc.org/webreports/ndxe201510.html
09/2015,747,https://nuforc.org/webreports/ndxe201509.html
08/2015,631,https://nuforc.org/webreports/ndxe201508.html
07/2015,747,https://nuforc.org/webreports/ndxe201507.html
06/2015,505,https://nuforc.org/webreports/ndxe201506.html
05/2015,474,https://nuforc.org/webreports/ndxe201505.html
04/2015,468,https://nuforc.org/webreports/ndxe201504.html
03/2015,484,https://nuforc.org/webreports/ndxe201503.html
02/2015,348,https://nuforc.org/webreports/ndxe201502.html
01/2015,549,https://nuforc.org/webreports/ndxe201501.html
12/2014,532,https://nuforc.org/webreports/ndxe201412.html
11/2014,552,https://nuforc.org/webreports/ndxe201411.html
10/2014,809,https://nuforc.org/webreports/ndxe201410.html
09/2014,851,https://nuforc.org/webreports/ndxe201409.html
08/2014,941,https://nuforc.org/webreports/ndxe201408.html
07/2014,1126,https://nuforc.org/webreports/ndxe201407.html
06/2014,801,https://nuforc.org/webreports/ndxe201406.html
05/2014,665,https://nuforc.org/webreports/ndxe201405.html
04/2014,674,https://nuforc.org/webreports/ndxe201404.html
03/2014,532,https://nuforc.org/webreports/ndxe201403.html
02/2014,560,https://nuforc.org/webreports/ndxe201402.html
01/2014,721,https://nuforc.org/webreports/ndxe201401.html
12/2013,778,https://nuforc.org/webreports/ndxe201312.html
11/2013,815,https://nuforc.org/webreports/ndxe201311.html
10/2013,805,https://nuforc.org/webreports/ndxe201310.html
09/2013,803,https://nuforc.org/webreports/ndxe201309.html
08/2013,930,https://nuforc.org/webreports/ndxe201308.html
07/2013,994,https://nuforc.org/webreports/ndxe201307.html
06/2013,664,https://nuforc.org/webreports/ndxe201306.html
05/2013,546,https://nuforc.org/webreports/ndxe201305.html
04/2013,431,https://nuforc.org/webreports/ndxe201304.html
03/2013,401,https://nuforc.org/webreports/ndxe201303.html
02/2013,286,https://nuforc.org/webreports/ndxe201302.html
01/2013,401,https://nuforc.org/webreports/ndxe201301.html
12/2012,683,https://nuforc.org/webreports/ndxe201212.html
11/2012,787,https://nuforc.org/webreports/ndxe201211.html
10/2012,688,https://nuforc.org/webreports/ndxe201210.html
09/2012,788,https://nuforc.org/webreports/ndxe201209.html
08/2012,915,https://nuforc.org/webreports/ndxe201208.html
07/2012,962,https://nuforc.org/webreports/ndxe201207.html
06/2012,781,https://nuforc.org/webreports/ndxe201206.html
05/2012,534,https://nuforc.org/webreports/ndxe201205.html
04/2012,510,https://nuforc.org/webreports/ndxe201204.html
03/2012,541,https://nuforc.org/webreports/ndxe201203.html
02/2012,401,https://nuforc.org/webreports/ndxe201202.html
01/2012,591,https://nuforc.org/webreports/ndxe201201.html
12/2011,541,https://nuforc.org/webreports/ndxe201112.html
11/2011,452,https://nuforc.org/webreports/ndxe201111.html
10/2011,650,https://nuforc.org/webreports/ndxe201110.html
09/2011,564,https://nuforc.org/webreports/ndxe201109.html
08/2011,649,https://nuforc.org/webreports/ndxe201108.html
07/2011,788,https://nuforc.org/webreports/ndxe201107.html
06/2011,425,https://nuforc.org/webreports/ndxe201106.html
05/2011,325,https://nuforc.org/webreports/ndxe201105.html
04/2011,319,https://nuforc.org/webreports/ndxe201104.html
03/2011,340,https://nuforc.org/webreports/ndxe201103.html
02/2011,278,https://nuforc.org/webreports/ndxe201102.html
01/2011,333,https://nuforc.org/webreports/ndxe201101.html
12/2010,312,https://nuforc.org/webreports/ndxe201012.html
11/2010,373,https://nuforc.org/webreports/ndxe201011.html
10/2010,482,https://nuforc.org/webreports/ndxe201010.html
09/2010,459,https://nuforc.org/webreports/ndxe201009.html
08/2010,545,https://nuforc.org/webreports/ndxe201008.html
07/2010,862,https://nuforc.org/webreports/ndxe201007.html
06/2010,398,https://nuforc.org/webreports/ndxe201006.html
05/2010,339,https://nuforc.org/webreports/ndxe201005.html
04/2010,297,https://nuforc.org/webreports/ndxe201004.html
03/2010,269,https://nuforc.org/webreports/ndxe201003.html
02/2010,198,https://nuforc.org/webreports/ndxe201002.html
01/2010,296,https://nuforc.org/webreports/ndxe201001.html
12/2009,296,https://nuforc.org/webreports/ndxe200912.html
11/2009,328,https://nuforc.org/webreports/ndxe200911.html
10/2009,329,https://nuforc.org/webreports/ndxe200910.html
09/2009,604,https://nuforc.org/webreports/ndxe200909.html
08/2009,508,https://nuforc.org/webreports/ndxe200908.html
07/2009,621,https://nuforc.org/webreports/ndxe200907.html
06/2009,400,https://nuforc.org/webreports/ndxe200906.html
05/2009,364,https://nuforc.org/webreports/ndxe200905.html
04/2009,321,https://nuforc.org/webreports/ndxe200904.html
03/2009,344,https://nuforc.org/webreports/ndxe200903.html
02/2009,399,https://nuforc.org/webreports/ndxe200902.html
01/2009,502,https://nuforc.org/webreports/ndxe200901.html
12/2008,352,https://nuforc.org/webreports/ndxe200812.html
11/2008,463,https://nuforc.org/webreports/ndxe200811.html
10/2008,540,https://nuforc.org/webreports/ndxe200810.html
09/2008,392,https://nuforc.org/webreports/ndxe200809.html
08/2008,518,https://nuforc.org/webreports/ndxe200808.html
07/2008,583,https://nuforc.org/webreports/ndxe200807.html
06/2008,497,https://nuforc.org/webreports/ndxe200806.html
05/2008,350,https://nuforc.org/webreports/ndxe200805.html
04/2008,446,https://nuforc.org/webreports/ndxe200804.html
03/2008,343,https://nuforc.org/webreports/ndxe200803.html
02/2008,373,https://nuforc.org/webreports/ndxe200802.html
01/2008,478,https://nuforc.org/webreports/ndxe200801.html
12/2007,362,https://nuforc.org/webreports/ndxe200712.html
11/2007,377,https://nuforc.org/webreports/ndxe200711.html
10/2007,451,https://nuforc.org/webreports/ndxe200710.html
09/2007,454,https://nuforc.org/webreports/ndxe200709.html
08/2007,479,https://nuforc.org/webreports/ndxe200708.html
07/2007,471,https://nuforc.org/webreports/ndxe200707.html
06/2007,439,https://nuforc.org/webreports/ndxe200706.html
05/2007,321,https://nuforc.org/webreports/ndxe200705.html
04/2007,325,https://nuforc.org/webreports/ndxe200704.html
03/2007,365,https://nuforc.org/webreports/ndxe200703.html
02/2007,269,https://nuforc.org/webreports/ndxe200702.html
01/2007,443,https://nuforc.org/webreports/ndxe200701.html
12/2006,389,https://nuforc.org/webreports/ndxe200612.html
11/2006,414,https://nuforc.org/webreports/ndxe200611.html
10/2006,404,https://nuforc.org/webreports/ndxe200610.html
09/2006,332,https://nuforc.org/webreports/ndxe200609.html
08/2006,432,https://nuforc.org/webreports/ndxe200608.html
07/2006,436,https://nuforc.org/webreports/ndxe200607.html
06/2006,350,https://nuforc.org/webreports/ndxe200606.html
05/2006,303,https://nuforc.org/webreports/ndxe200605.html
04/2006,325,https://nuforc.org/webreports/ndxe200604.html
03/2006,310,https://nuforc.org/webreports/ndxe200603.html
02/2006,236,https://nuforc.org/webreports/ndxe200602.html
01/2006,257,https://nuforc.org/webreports/ndxe200601.html
12/2005,280,https://nuforc.org/webreports/ndxe200512.html
11/2005,468,https://nuforc.org/webreports/ndxe200511.html
10/2005,491,https://nuforc.org/webreports/ndxe200510.html
09/2005,533,https://nuforc.org/webreports/ndxe200509.html
08/2005,356,https://nuforc.org/webreports/ndxe200508.html
07/2005,465,https://nuforc.org/webreports/ndxe200507.html
06/2005,415,https://nuforc.org/webreports/ndxe200506.html
05/2005,303,https://nuforc.org/webreports/ndxe200505.html
04/2005,320,https://nuforc.org/webreports/ndxe200504.html
03/2005,362,https://nuforc.org/webreports/ndxe200503.html
02/2005,280,https://nuforc.org/webreports/ndxe200502.html
01/2005,264,https://nuforc.org/webreports/ndxe200501.html
12/2004,309,https://nuforc.org/webreports/ndxe200412.html
11/2004,334,https://nuforc.org/webreports/ndxe200411.html
10/2004,457,https://nuforc.org/webreports/ndxe200410.html
09/2004,417,https://nuforc.org/webreports/ndxe200409.html
08/2004,556,https://nuforc.org/webreports/ndxe200408.html
07/2004,442,https://nuforc.org/webreports/ndxe200407.html
06/2004,438,https://nuforc.org/webreports/ndxe200406.html
05/2004,395,https://nuforc.org/webreports/ndxe200405.html
04/2004,398,https://nuforc.org/webreports/ndxe200404.html
03/2004,418,https://nuforc.org/webreports/ndxe200403.html
02/2004,302,https://nuforc.org/webreports/ndxe200402.html
01/2004,305,https://nuforc.org/webreports/ndxe200401.html
12/2003,386,https://nuforc.org/webreports/ndxe200312.html
11/2003,472,https://nuforc.org/webreports/ndxe200311.html
10/2003,477,https://nuforc.org/webreports/ndxe200310.html
09/2003,512,https://nuforc.org/webreports/ndxe200309.html
08/2003,548,https://nuforc.org/webreports/ndxe200308.html
07/2003,455,https://nuforc.org/webreports/ndxe200307.html
06/2003,317,https://nuforc.org/webreports/ndxe200306.html
05/2003,254,https://nuforc.org/webreports/ndxe200305.html
04/2003,226,https://nuforc.org/webreports/ndxe200304.html
03/2003,194,https://nuforc.org/webreports/ndxe200303.html
02/2003,269,https://nuforc.org/webreports/ndxe200302.html
01/2003,329,https://nuforc.org/webreports/ndxe200301.html
12/2002,255,https://nuforc.org/webreports/ndxe200212.html
11/2002,295,https://nuforc.org/webreports/ndxe200211.html
10/2002,342,https://nuforc.org/webreports/ndxe200210.html
09/2002,384,https://nuforc.org/webreports/ndxe200209.html
08/2002,493,https://nuforc.org/webreports/ndxe200208.html
07/2002,443,https://nuforc.org/webreports/ndxe200207.html
06/2002,361,https://nuforc.org/webreports/ndxe200206.html
05/2002,256,https://nuforc.org/webreports/ndxe200205.html
04/2002,194,https://nuforc.org/webreports/ndxe200204.html
03/2002,198,https://nuforc.org/webreports/ndxe200203.html
02/2002,262,https://nuforc.org/webreports/ndxe200202.html
01/2002,242,https://nuforc.org/webreports/ndxe200201.html
12/2001,217,https://nuforc.org/webreports/ndxe200112.html
11/2001,282,https://nuforc.org/webreports/ndxe200111.html
10/2001,261,https://nuforc.org/webreports/ndxe200110.html
09/2001,356,https://nuforc.org/webreports/ndxe200109.html
08/2001,399,https://nuforc.org/webreports/ndxe200108.html
07/2001,416,https://nuforc.org/webreports/ndxe200107.html
06/2001,322,https://nuforc.org/webreports/ndxe200106.html
05/2001,262,https://nuforc.org/webreports/ndxe200105.html
04/2001,242,https://nuforc.org/webreports/ndxe200104.html
03/2001,292,https://nuforc.org/webreports/ndxe200103.html
02/2001,237,https://nuforc.org/webreports/ndxe200102.html
01/2001,285,https://nuforc.org/webreports/ndxe200101.html
12/2000,238,https://nuforc.org/webreports/ndxe200012.html
11/2000,238,https://nuforc.org/webreports/ndxe200011.html
10/2000,333,https://nuforc.org/webreports/ndxe200010.html
09/2000,301,https://nuforc.org/webreports/ndxe200009.html
08/2000,301,https://nuforc.org/webreports/ndxe200008.html
07/2000,375,https://nuforc.org/webreports/ndxe200007.html
06/2000,286,https://nuforc.org/webreports/ndxe200006.html
05/2000,192,https://nuforc.org/webreports/ndxe200005.html
04/2000,202,https://nuforc.org/webreports/ndxe200004.html
03/2000,227,https://nuforc.org/webreports/ndxe200003.html
02/2000,207,https://nuforc.org/webreports/ndxe200002.html
01/2000,235,https://nuforc.org/webreports/ndxe200001.html
12/1999,227,https://nuforc.org/webreports/ndxe199912.html
11/1999,455,https://nuforc.org/webreports/ndxe199911.html
10/1999,315,https://nuforc.org/webreports/ndxe199910.html
09/1999,407,https://nuforc.org/webreports/ndxe199909.html
08/1999,322,https://nuforc.org/webreports/ndxe199908.html
07/1999,309,https://nuforc.org/webreports/ndxe199907.html
06/1999,297,https://nuforc.org/webreports/ndxe199906.html
05/1999,194,https://nuforc.org/webreports/ndxe199905.html
04/1999,166,https://nuforc.org/webreports/ndxe199904.html
03/1999,164,https://nuforc.org/webreports/ndxe199903.html
02/1999,176,https://nuforc.org/webreports/ndxe199902.html
01/1999,146,https://nuforc.org/webreports/ndxe199901.html
12/1998,196,https://nuforc.org/webreports/ndxe199812.html
11/1998,218,https://nuforc.org/webreports/ndxe199811.html
10/1998,232,https://nuforc.org/webreports/ndxe199810.html
09/1998,251,https://nuforc.org/webreports/ndxe199809.html
08/1998,179,https://nuforc.org/webreports/ndxe199808.html
07/1998,192,https://nuforc.org/webreports/ndxe199807.html
06/1998,221,https://nuforc.org/webreports/ndxe199806.html
05/1998,111,https://nuforc.org/webreports/ndxe199805.html
04/1998,131,https://nuforc.org/webreports/ndxe199804.html
03/1998,148,https://nuforc.org/webreports/ndxe199803.html
02/1998,88,https://nuforc.org/webreports/ndxe199802.html
01/1998,85,https://nuforc.org/webreports/ndxe199801.html
12/1997,76,https://nuforc.org/webreports/ndxe199712.html
11/1997,132,https://nuforc.org/webreports/ndxe199711.html
10/1997,116,https://nuforc.org/webreports/ndxe199710.html
09/1997,61,https://nuforc.org/webreports/ndxe199709.html
